Time,Vessel,Waypoints,Time Parked
8/21/17 7:00 PM,DA PENG WAN,,0
8/21/17 7:00 PM,DA MING SHAN,,0
8/21/17 7:00 PM,DA HUA SHAN,,0
8/21/17 7:00 PM,CPO RUSSIA,,0
8/21/17 7:00 PM,COSMIC 8,,0
8/21/17 7:00 PM,COSMIC 5,,0
8/21/17 7:00 PM,COSMIC 3,,0
8/21/17 7:00 PM,COSMIC 20,,0
8/21/17 7:00 PM,COSMIC 11,,0
8/21/17 7:00 PM,COHO,,0
8/21/17 7:00 PM,CLOVER,,0
8/21/17 7:00 PM,CHESAPEAKE,,15
8/21/17 7:00 PM,CALUSA COAST,,0
8/21/17 7:00 PM,BROOKE CHAPMAN,,0
8/21/17 7:00 PM,BLUEFIN,,0
8/21/17 7:00 PM,BLANCO,,0
8/21/17 7:00 PM,BLACK SHARK,,0
8/21/17 7:00 PM,BITUMA 1,,0
8/21/17 7:00 PM,BITU EXPRESS,,0
8/21/17 7:00 PM,BITLAND,,0
8/21/17 7:00 PM,BITFLOWER,,0
8/21/17 7:00 PM,BIT REDO,,0
8/21/17 7:00 PM,BISKRA,,0
8/21/17 7:00 PM,BD 51,,0
8/21/17 7:00 PM,BARBARA ANDRIE,,0
8/21/17 7:00 PM,ATLANTIC COAST,,15
8/21/17 7:00 PM,ASPHALTtRANSPORTER,,0
8/21/17 7:00 PM,ASPHALT SUMMER,,0
8/21/17 7:00 PM,ASPHALT STAR,,0
8/21/17 7:00 PM,ASPHALT SPRING,,0
8/21/17 7:00 PM,ASPHALT SPLENDOR,,0
8/21/17 7:00 PM,ASPHALT SPIRIT,,0
8/21/17 7:00 PM,ASPHALT SEMINOLE,,0
8/21/17 7:00 PM,ASPHALT SAILOR,,0
8/21/17 7:00 PM,ASPHALT PRINCESS,,0
8/21/17 7:00 PM,ASPHALT EAGLE,,0
8/21/17 7:00 PM,ASPHALT CARRIER,,0
8/21/17 7:00 PM,ARDEA,,0
8/21/17 7:00 PM,ANTIGONE,,0
8/21/17 7:00 PM,ANNE JARRETT,,0
8/21/17 7:00 PM,ANACOSTIA,,0
8/21/17 7:00 PM,AN HAI WAN,,0
8/21/17 7:00 PM,ALPS WIDESHINE,,0
8/21/17 7:00 PM,ACACIA RUBRA,,0
8/21/17 7:00 PM,3B VICTORY,,0
8/21/17 7:15 PM,ZHUANG YUAN AO,,0
8/21/17 7:15 PM,ZHEN ZHU WAN,,0
8/21/17 7:15 PM,YUE LIANG WAN,,0
8/21/17 7:15 PM,YELLOWFIN,,0
8/21/17 7:15 PM,VIVEKA,,0
8/21/17 7:15 PM,THEODORA,,0
8/21/17 7:15 PM,TERESA,,0
8/21/17 7:15 PM,TARPON,,0
8/21/17 7:15 PM,TAI WO,,0
8/21/17 7:15 PM,SUNPOWER,,0
8/21/17 7:15 PM,STOLT FUJI,,0
8/21/17 7:15 PM,STELLA VIRGO,,0
8/21/17 7:15 PM,STELLA POLARIS,,0
8/21/17 7:15 PM,SOFIA,,0
8/21/17 7:15 PM,SKIPJACK,,0
8/21/17 7:15 PM,SEAPOWER,,0
8/21/17 7:15 PM,SAO DOMINGOS SAVIO,,0
8/21/17 7:15 PM,SAN DU AO,,0
8/21/17 7:15 PM,SAN BEATO,,0
8/21/17 7:15 PM,SAN BACCO,,0
8/21/17 7:15 PM,REBECCA LYNN,,0
8/21/17 7:15 PM,PING HAI WAN,,0
8/21/17 7:15 PM,PENG HU WAN,,0
8/21/17 7:15 PM,PATHFINDER,,0
8/21/17 7:15 PM,PANDION,,0
8/21/17 7:15 PM,PALANCA SYDNEY,,0
8/21/17 7:15 PM,PALANCA SINGAPORE,,30
8/21/17 7:15 PM,PALANCA RIO,,0
8/21/17 7:15 PM,PALANCA MUSCAT,,0
8/21/17 7:15 PM,PALANCA MONTEVIDEO,,0
8/21/17 7:15 PM,PALANCA MIAMI,,0
8/21/17 7:15 PM,PALANCA MAPUTO,,0
8/21/17 7:15 PM,PALANCA LUANDA,,0
8/21/17 7:15 PM,PALANCA CADIZ,,0
8/21/17 7:15 PM,OCEAN WORLD,,0
8/21/17 7:15 PM,NORTH SEA,,0
8/21/17 7:15 PM,NING HAI WAN,,0
8/21/17 7:15 PM,NEWLEAD GRANADINO,,0
8/21/17 7:15 PM,NEPHELI,,0
8/21/17 7:15 PM,MISS GILL,,0
8/21/17 7:15 PM,MARY E HANNAH,,0
8/21/17 7:15 PM,MARONI,,0
8/21/17 7:15 PM,MAKO,,0
8/21/17 7:15 PM,LUCKY D,,0
8/21/17 7:15 PM,LINDA LEE BOUCHARD,,0
8/21/17 7:15 PM,LEO ASPHALT I,,0
8/21/17 7:15 PM,LEO A.MCARTHUR,,0
8/21/17 7:15 PM,LAGAN,,0
8/21/17 7:15 PM,KATERINA L,,0
8/21/17 7:15 PM,KAREN PAPE,,0
8/21/17 7:15 PM,KAREN ANDRIE,,0
8/21/17 7:15 PM,JAYA OCEAN,,0
8/21/17 7:15 PM,JANESIA ASPHALT VI,,0
8/21/17 7:15 PM,JANESIA ASPHALT V,,0
8/21/17 7:15 PM,JANESIA ASPHALT IV,,0
8/21/17 7:15 PM,IVER EXACT,,0
8/21/17 7:15 PM,IVER BRILLIANT,,0
8/21/17 7:15 PM,IVER BRIGHT,,0
8/21/17 7:15 PM,IVER BLESSING,,0
8/21/17 7:15 PM,IVER BITUMEN,,0
8/21/17 7:15 PM,IVER BEST,,0
8/21/17 7:15 PM,IVER BEAUTY,,0
8/21/17 7:15 PM,IVER BALANCE,,0
8/21/17 7:15 PM,IVER AMBITION,,0
8/21/17 7:15 PM,IVER AGILE,,0
8/21/17 7:15 PM,IVER ACTION,,0
8/21/17 7:15 PM,IVER ABILITY,,0
8/21/17 7:15 PM,HERBANIA,,0
8/21/17 7:15 PM,GULF STREAM,,0
8/21/17 7:15 PM,FU NING WAN,,0
8/21/17 7:15 PM,FENG HUANG AO,,0
8/21/17 7:15 PM,FANG CHENG GANG,,0
8/21/17 7:15 PM,EVERLAST,,0
8/21/17 7:15 PM,ELIZABETH ANNE,,0
8/21/17 7:15 PM,DISCOVERY COAST,,0
8/21/17 7:15 PM,DAMIA DESGAGNES,,0
8/21/17 7:15 PM,DA PENG WAN,,0
8/21/17 7:15 PM,DA MING SHAN,,0
8/21/17 7:15 PM,DA HUA SHAN,,0
8/21/17 7:15 PM,CPO RUSSIA,,0
8/21/17 7:15 PM,COSMIC 8,,0
8/21/17 7:15 PM,COSMIC 5,,0
8/21/17 7:15 PM,COSMIC 3,,0
8/21/17 7:15 PM,COSMIC 20,,0
8/21/17 7:15 PM,COSMIC 11,,0
8/21/17 7:15 PM,COHO,,0
8/21/17 7:15 PM,CLOVER,,0
8/21/17 7:15 PM,CHESAPEAKE,,30
8/21/17 7:15 PM,CALUSA COAST,,0
8/21/17 7:15 PM,BROOKE CHAPMAN,,0
8/21/17 7:15 PM,BLUEFIN,,0
8/21/17 7:15 PM,BLANCO,,0
8/21/17 7:15 PM,BLACK SHARK,,0
8/21/17 7:15 PM,BITUMA 1,,0
8/21/17 7:15 PM,BITU EXPRESS,,0
8/21/17 7:15 PM,BITLAND,,0
8/21/17 7:15 PM,BITFLOWER,,0
8/21/17 7:15 PM,BIT REDO,,0
8/21/17 7:15 PM,BISKRA,,0
8/21/17 7:15 PM,BD 51,,0
8/21/17 7:15 PM,BARBARA ANDRIE,,0
8/21/17 7:15 PM,ATLANTIC COAST,,30
8/21/17 7:15 PM,ASPHALTtRANSPORTER,,0
8/21/17 7:15 PM,ASPHALT SUMMER,,0
8/21/17 7:15 PM,ASPHALT STAR,,0
8/21/17 7:15 PM,ASPHALT SPRING,,0
8/21/17 7:15 PM,ASPHALT SPLENDOR,,0
8/21/17 7:15 PM,ASPHALT SPIRIT,,0
8/21/17 7:15 PM,ASPHALT SEMINOLE,,0
8/21/17 7:15 PM,ASPHALT SAILOR,,0
8/21/17 7:15 PM,ASPHALT PRINCESS,,0
8/21/17 7:15 PM,ASPHALT EAGLE,,0
8/21/17 7:15 PM,ASPHALT CARRIER,,0
8/21/17 7:15 PM,ARDEA,,0
8/21/17 7:15 PM,ANTIGONE,,0
8/21/17 7:15 PM,ANNE JARRETT,,0
8/21/17 7:15 PM,ANACOSTIA,,0
8/21/17 7:15 PM,AN HAI WAN,,0
8/21/17 7:15 PM,ALPS WIDESHINE,,0
8/21/17 7:15 PM,ACACIA RUBRA,,0
8/21/17 7:15 PM,3B VICTORY,,0
8/21/17 7:30 PM,ZHUANG YUAN AO,,0
8/21/17 7:30 PM,ZHEN ZHU WAN,,0
8/21/17 7:30 PM,YUE LIANG WAN,,0
8/21/17 7:30 PM,YELLOWFIN,,0
8/21/17 7:30 PM,VIVEKA,,0
8/21/17 7:30 PM,THEODORA,,0
8/21/17 7:30 PM,TERESA,,0
8/21/17 7:30 PM,TARPON,,0
8/21/17 7:30 PM,TAI WO,,0
8/21/17 7:30 PM,SUNPOWER,,0
8/21/17 7:30 PM,STOLT FUJI,,0
8/21/17 7:30 PM,STELLA VIRGO,,0
8/21/17 7:30 PM,STELLA POLARIS,,0
8/21/17 7:30 PM,SOFIA,,0
8/21/17 7:30 PM,SKIPJACK,,0
8/21/17 7:30 PM,SEAPOWER,,0
8/21/17 7:30 PM,SAO DOMINGOS SAVIO,,0
