Time,Name,Product
8/21/17 9:45 PM,BP Whiting,0.0
8/21/17 9:45 PM,AOS Chicago,0.0
8/21/17 9:45 PM,Marathon Detroit,0.0
8/21/17 9:45 PM,Suncor Sarnia,0.0
8/21/17 9:45 PM,Peckham Bronx,0.0
8/21/17 9:45 PM,Nu Star Bronx,0.0
8/21/17 9:45 PM,Nu Star Albany,0.0
8/21/17 9:45 PM,Peckham Albany,0.0
8/21/17 9:45 PM,Gorman Albany,0.0
8/21/17 9:45 PM,Pike Portsmouth,0.0
8/21/17 9:45 PM,Aggregate Industries Boston,0.0
8/21/17 9:45 PM,Nu Star Baltimore,0.0
8/21/17 9:45 PM,Irving St. John,0.0
8/21/17 9:45 PM,McAsphalt Hamilton,0.0
8/21/17 9:45 PM,Nu Star Dumfries,0.0
8/21/17 9:45 PM,Warner Mistersky,0.0
8/21/17 9:45 PM,BP Toledo,0.0
8/21/17 9:45 PM,BP Cleveland,0.0
8/21/17 9:45 PM,Irving Botwood,0.0
8/21/17 9:45 PM,Irving Stephenville,0.0
